#ParticleID	Turn	x[m]	xp	y[m]	yp	z[m]	dE[GeV]
0	105	-0.000147	0.000000	0.000000	0.000000	0.285618	-0.000087
0	106	-0.000149	0.000000	0.000000	0.000000	0.281887	-0.000087
0	107	-0.000149	0.000000	0.000000	0.000000	0.278133	-0.000088
0	108	-0.000148	0.000000	0.000000	0.000000	0.274356	-0.000088
0	109	-0.000149	0.000000	0.000000	0.000000	0.270556	-0.000089
0	110	-0.000151	0.000000	0.000000	0.000000	0.266734	-0.000089
0	111	-0.000153	0.000000	0.000000	0.000000	0.262890	-0.000090
0	112	-0.000153	0.000000	0.000000	0.000000	0.259025	-0.000090
0	113	-0.000153	0.000000	0.000000	0.000000	0.255138	-0.000091
0	114	-0.000153	0.000000	0.000000	0.000000	0.251231	-0.000091
0	115	-0.000155	0.000000	0.000000	0.000000	0.247302	-0.000092
0	116	-0.000157	0.000000	0.000000	0.000000	0.243354	-0.000092
0	117	-0.000158	0.000000	0.000000	0.000000	0.239385	-0.000093
0	118	-0.000157	0.000000	0.000000	0.000000	0.235397	-0.000093
0	119	-0.000157	0.000000	0.000000	0.000000	0.231389	-0.000094
0	120	-0.000158	0.000000	0.000000	0.000000	0.227362	-0.000094
0	121	-0.000161	0.000000	0.000000	0.000000	0.223317	-0.000094
0	122	-0.000162	0.000000	0.000000	0.000000	0.219254	-0.000095
0	123	-0.000161	0.000000	0.000000	0.000000	0.215172	-0.000095
0	124	-0.000161	0.000000	0.000000	0.000000	0.211073	-0.000096
0	125	-0.000162	0.000000	0.000000	0.000000	0.206956	-0.000096
0	126	-0.000164	0.000000	0.000000	0.000000	0.202822	-0.000097
0	127	-0.000165	0.000000	0.000000	0.000000	0.198672	-0.000097
0	128	-0.000165	0.000000	0.000000	0.000000	0.194505	-0.000097
0	129	-0.000164	0.000000	0.000000	0.000000	0.190323	-0.000098
0	130	-0.000164	0.000000	0.000000	0.000000	0.186124	-0.000098
0	131	-0.000166	0.000000	0.000000	0.000000	0.181911	-0.000098
0	132	-0.000168	0.000000	0.000000	0.000000	0.177682	-0.000099
0	133	-0.000168	0.000000	0.000000	0.000000	0.173439	-0.000099
0	134	-0.000167	0.000000	0.000000	0.000000	0.169182	-0.000099
0	135	-0.000167	0.000000	0.000000	0.000000	0.164910	-0.000100
0	136	-0.000169	0.000000	0.000000	0.000000	0.160625	-0.000100
0	137	-0.000171	0.000000	0.000000	0.000000	0.156328	-0.000100
0	138	-0.000171	0.000000	0.000000	0.000000	0.152017	-0.000101
0	139	-0.000170	0.000000	0.000000	0.000000	0.147694	-0.000101
0	140	-0.000170	0.000000	0.000000	0.000000	0.143358	-0.000101
